University,Type,City,Program,Fee_per_credit_hr,Admission_Fee,Credit Hours,Semester Fee,Min_Academic_Percent,Min_Test_Score,Entry_Test_Required,Accreditations,Hostel,Transport,Extracurriculars,Website,address,est,apply 
DOW University,Public,Karachi,"Bachelor of Medicine, Bachelor of Surgery","38,690","53,000",168,"650,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,Doctor of Pharmacy,"11,628","85,000",172,"200,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,Doctor of Physical Therapy,"10,286","105,000",175,"180,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Business Administration,"5,000","25,000",160,"100,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Accounting & Finance,"5,634","25,000",142,"100,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Biotechnology,"10,176","90,000",136,"173,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Nutrition,"11,136","90,000",139,"193,500",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Public Health,"8,474","90,000",135,"143,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Psychology,"8,119","90,000",134,"136,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Optometry,"9,576","90,000",132,"158,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Radiologic Technology,"11,138","90,000",130,"181,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Perfusion Sciences,"8,889","90,000",135,"150,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Respiratory & Critical Care Technology,"8,696","90,000",138,"150,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Clinical Laboratory Sciences,"9,375","90,000",128,"150,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Clinical Ophthalmic Technology,"8,696","90,000",138,"150,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Surgical Technology,"8,824","90,000",136,"150,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,Dental Care Professions,"9,552","90,000",134,"160,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Dental Hygiene,"10,313","90,000",128,"165,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Dental Technology,"10,375","90,000",128,"166,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
DOW University,Public,Karachi,BS Nursing,"10,154","90,000",130,"165,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
Hamdard University,Private,Karachi,Doctor of Pharmacy,8737,"24,000",198,173000,0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Digital Marketing,2769,"14,000",130,"45,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BMS – Media Studies,4233,"16,000",137,"72,500",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Accounting & Finance,4217,"14,000",129,"68,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Industrial Management,3943,"14,000",140,"69,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Islamic Studies,2413,"12,000",126,"38,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Computer Science,6362,"18,500",127,"101,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Software Engineering,6121,"18,500",132,"101,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Artificial Intelligence,6697,"18,500",132,"110,500",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Food Science and Technology,3576,"12,000",132,"59,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Biotechnology,3371,"12,000",140,"59,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Microbiology,3588,"14,000",136,"61,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Digital Systems and Web Technology,3042,"14,000",142,"54,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BE Electrical,6074,"18,500",135,"102,500",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BE Mechanical,5735,"18,500",136,"97,500",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BE Computer Systems,6029,"18,500",136,"102,500",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BE Civil,5698,"18,500",139,"99,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BE Biomedical,6088,"18,500",136,"103,500",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Education with Specialization in ECE,2303,"12,000",132,"38,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS English,2093,"14,000",138,"36,100",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Psychology,2292,"14,000",126,"36,100",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Educational Psychology,2833,"14,000",132,"37,400",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,Bachelor of Medicine & Bachelor of Surgery,71429,"150,000",196,"1,400,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,Bachelor of Dental Surgery,61979,"150,000",192,"1,189,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,Doctor of Physical Therapy,6900,"32,000",160,"138,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Nursing,6331,"100,000",139,"110,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Hamdard University,Private,Karachi,BS Medical Laboratory Technology,"5,511","27,000",135,"93,000",0.5,0.6,yes,yes,yes,yes,"Entrepreneurship and innovation clubs, cultural and literary societies, arts and music events, sports, and community service activities",https://www.hamdard.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Education,"7,500","29,200",90,"170,000",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Artificial Intelligence,"7,500","29,200",130,"220,000",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Banking and Finance,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Business Administration,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Communication Design,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Computer Science,"7,500","29,200",130,"220,000",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Digital Business Management,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Digital Media Marketing,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Economics and Finance,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in English (Literature / Linguistics),"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in English,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Fashion Studies,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Film Studies,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Liberal Arts,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Mass Communication & Media Studies,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Psychology,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Software Engineering,"7,500","29,200",130,"220,000",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Tourism & Hospitality Management,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
Greenwich Univeristy,Private,Karachi,Bachelor of Science in Visual Effects & Animation,"7,500","29,200",126,"200,150",0.5,0.6,yes,yes,no,no,"Innovation and leadership clubs, cultural and literary events, media and arts societies, sports, and social welfare activities",https://www.greenwich.edu.pk/,,,
The Aga Khan University,Private,Karachi,Bachelor of Studies in Arts and Sciences,"30,769","150,000",130,"1,000,000",0.5,0.6,yes,yes,yes,no,"Medical and research societies, innovation and leadership clubs, cultural and literary events, sports, and community service initiatives.",https://www.aku.edu/Pages/home.aspx,,,
The Aga Khan University,Private,Karachi,"Bachelor of Medicine, Bachelor of Surgery","13,760","300,000",250,"860,000",0.5,0.6,yes,yes,yes,no,"Medical and research societies, innovation and leadership clubs, cultural and literary events, sports, and community service initiatives.",https://www.aku.edu/Pages/home.aspx,,,
The Aga Khan University,Private,Karachi,Associate of Science in Dental Hygiene,"30,000","190,000",60,"450,000",0.5,0.6,yes,yes,yes,no,"Medical and research societies, innovation and leadership clubs, cultural and literary events, sports, and community service initiatives.",https://www.aku.edu/Pages/home.aspx,,,
The Aga Khan University,Private,Karachi,Post-RN Bachelor of Science in Nursing,"31,667","155,000",60,"475,000",0.5,0.6,yes,yes,yes,no,"Medical and research societies, innovation and leadership clubs, cultural and literary events, sports, and community service initiatives.",https://www.aku.edu/Pages/home.aspx,,,
The Aga Khan University,Private,Karachi,Post-RM Bachelor of Science in Midwifery,"20,000","150,000",60,"300,000",0.5,0.6,yes,yes,yes,no,"Medical and research societies, innovation and leadership clubs, cultural and literary events, sports, and community service initiatives.",https://www.aku.edu/Pages/home.aspx,,,
The Aga Khan University,Private,Karachi,Bachelor of Education,"5,538","90,000",130,"180,000",0.5,0.6,yes,yes,yes,no,"Medical and research societies, innovation and leadership clubs, cultural and literary events, sports, and community service initiatives.",https://www.aku.edu/Pages/home.aspx,,,
Habib Univeristy,Private,Karachi,BS Computer Science,"29,323","102,000",133,"975,000",0.7,0.6,yes,yes,no,yes,"Innovation and entrepreneurship clubs, cultural and literary societies, arts and theatre, sports, and community engagement programs.",https://habib.edu.pk/,,,
Habib Univeristy,Private,Karachi,BS Electrical Engineering,"27,794","102,000",136,"945,000",0.7,0.6,yes,yes,no,yes,"Innovation and entrepreneurship clubs, cultural and literary societies, arts and theatre, sports, and community engagement programs.",https://habib.edu.pk/,,,
Habib Univeristy,Private,Karachi,BS Computer Engineering,"28,676","102,000",136,"975,000",0.7,0.6,yes,yes,no,yes,"Innovation and entrepreneurship clubs, cultural and literary societies, arts and theatre, sports, and community engagement programs.",https://habib.edu.pk/,,,
Habib Univeristy,Private,Karachi,BA (Honors) Communication & Design,"26,977","102,000",129,"870,000",0.7,0.6,yes,yes,no,yes,"Innovation and entrepreneurship clubs, cultural and literary societies, arts and theatre, sports, and community engagement programs.",https://habib.edu.pk/,,,
Habib Univeristy,Private,Karachi,BA (Honors) Comparative Humanities,"28,065","102,000",124,"870,000",0.7,0.6,yes,yes,no,yes,"Innovation and entrepreneurship clubs, cultural and literary societies, arts and theatre, sports, and community engagement programs.",https://habib.edu.pk/,,,
Habib Univeristy,Private,Karachi,BSc (Honors) Social Development & Policy,"26,977","102,000",129,"870,000",0.7,0.6,yes,yes,no,yes,"Innovation and entrepreneurship clubs, cultural and literary societies, arts and theatre, sports, and community engagement programs.",https://habib.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Computer Science,"1,865","11,800",133,"31,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Artificial Intelligence,"2,466","11,800",133,"41,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Information Technology,"1,837","11,800",135,"31,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BBA,"2,085","11,800",142,"37,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Entrepreneurship,"2,056","11,800",144,"37,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Public Administration,"1,481","11,800",135,"25,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Commerce,"1,538","11,800",130,"25,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Accounting & Finance,"1,538","11,800",130,"25,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Banking & Finance,"1,538","11,800",130,"25,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Digital Marketing,"1,538","11,800",130,"25,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS English,"1,515","11,800",132,"25,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Education,"1,394","11,800",132,"23,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,B.Ed (Honors),"1,415","11,800",130,"23,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS International Relations,"1,477","11,800",130,"24,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Islamic Studies,"1,477","11,800",130,"24,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Sports Sciences & Physical Education,"1,477","11,800",130,"24,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,BS Media Science & Communication Design,"1,415","14,800",130,"23,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,Doctor of Pharmacy,"3,651","11,800",189,"69,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
Benazir Bhutto Shaheed University Lyari,Public,Karachi,Doctor of Physical Therapy,"3,833","11,800",180,"69,000",0.5,0.6,yes,yes,no,yes,"Entrepreneurship and business clubs, cultural and literary events, arts and music, sports",https://bbsul.edu.pk/,,,
DHA Suffa University,Private,Karachi,BE Mechanical Engineering,"5,500","25,000",136,"144,850",0.6,0.5,yes,yes,yes,yes,"Public speaking, technology and entrepreneurship clubs, arts and cultural events, sports, and community service",https://www.dsu.edu.pk/,,,
DHA Suffa University,Private,Karachi,BE Electrical Engineering,"5,500","25,000",140,"131,350",0.6,0.5,yes,yes,yes,yes,"Public speaking, technology and entrepreneurship clubs, arts and cultural events, sports, and community service",https://www.dsu.edu.pk/,,,
